district,hurt,time,place
3101176201400120,伤人事故,2014-8-29 18:30:00,泗陈公路出佘北公路东约2米
3101182201400410,死亡事故,2014-8-12 22:55:00,嘉松中路出华隆路南约3000米
3101158201500130,死亡事故,2015-4-15 8:10:00,大川公路进周祝公路北约500米
3101121201400290,死亡事故,2014-11-26 11:50:00,苏召路立跃路北约200米
3101155201400390,死亡事故,2014-9-11 15:05:00,港城路出杨高北路西约300米
3101158201400290,死亡事故,2014-7-2 7:18:00,康新公路进新卫路南约40米
3101173201400080,死亡事故,2014-7-5 8:06:00,新绿街进新绿街新颖路西约150米
3101087201400020,伤人事故,2014-7-23 12:40:00,江场西路原平路东约5米
3101171201400100,财产损失事故,2014-7-19 10:35:00,辰花公路出光星路西约100米
3101087201400020,死亡事故,2014-7-7 20:17:00,天目中路大统路东约1米
3102303201400110,死亡事故,2014-9-25 16:15:00,协定公路协津公路西约500米
3101120201400170,死亡事故,2014-7-7 23:39:00,剑川路进莲花南路东约300米
3101153201400320,死亡事故,2014-7-21 17:22:00,御青路京浦路西约20米
3101170201400080,死亡事故,2014-7-7 17:25:00,塔闵公路出松卫北路西约1000米
3101127201400170,死亡事故,2014-7-17 18:05:00,沪闵路贵都路南约5米
3101128201400170,伤人事故,2014-7-16 22:23:00,春西路申旺路南约30米
3101177201400120,死亡事故,2014-8-23 22:58:00,昆港公路出新港路南约80米
3101151201400340,死亡事故,2014-8-3 11:55:00,汇成路园西路东约1米
3101172201400090,死亡事故,2014-7-11 15:33:00,滨湖路出新松江路南约100米
3101146201400140,死亡事故,2014-10-30 22:50:00,外钱公路进墨玉北路东约300米
3101151201400410,死亡事故,2014-9-18 19:25:00,东川公路上川路北约600米
3101124201400210,伤人事故,2014-9-3 12:16:00,春都路都庄路东约100米
3101173201400090,死亡事故,2014-7-9 19:34:00,嘉松南路沈砖公路东北约20米
3101129201400200,伤人事故,2014-8-24 20:07:00,三鲁公路立跃路北约400米
3101126201400180,伤人事故,2014-7-20 22:04:00,联跃路浦星公路东约0米
3101121201400160,死亡事故,2014-7-6 20:51:00,沪闵路莘建路南约300米
3101121201400190,伤人事故,2014-7-29 11:37:00,立跃路立民路北约0米
3101086201400020,死亡事故,2014-7-21 10:34:00,共和新路出彭江路北约100米
3101175201400100,伤人事故,2014-7-18 17:45:00,方泗公路进九干路南约200米
3101107201400040,死亡事故,2014-10-23 9:23:00,政立路淞沪路东北约1米
3101151201400350,死亡事故,2014-8-5 17:09:00,张杨北路航津路东约10米
3101154201400390,死亡事故,2014-9-11 19:57:00,张东路祖冲之路东约1米
3101126201400170,伤人事故,2014-7-6 21:58:00,漕宝路进龙茗路东约100米
3101152201400440,死亡事故,2014-10-4 7:15:00,东高路张杨北路西约5米
3103013201400000,伤人事故,2014-7-20 22:25:00,沪渝高速北侧中春路下匝道后约1000米
3101153201400290,死亡事故,2014-7-2 21:40:00,五洲大道北侧申江路上匝道
3101160201400060,死亡事故,2014-8-6 8:56:00,金展路林贤路南约200米
3101175201400080,伤人事故,2014-7-3 3:30:00,沪昆高速北侧36km约900米
3101184201400390,死亡事故,2014-8-2 21:38:00,崧泽大道出赵重公路东约1500米
3101057201400020,死亡事故,2014-7-14 15:28:00,北翟路出剑河路西约100米
3101173201400090,死亡事故,2014-7-12 19:40:00,玉树路进兴仓路北约80米
3101138201400130,伤人事故,2014-7-23 4:05:00,外环高速东侧85km约200米
3101136201400150,死亡事故,2014-8-29 18:32:00,恒高路进江杨南路东约30米
3101183201400380,死亡事故,2014-7-23 8:01:00,嘉松中路纪鹤公路西北约10米
3101120201400160,死亡事故,2014-7-4 10:50:00,老沪闵路进华泾路西约200米
3101180201400380,死亡事故,2014-7-26 0:57:00,新胜路进白石公路南约500米
3101049201400040,死亡事故,2014-7-16 10:07:00,龙吴路银都路西北约20米
3101177201400110,死亡事故,2014-8-3 20:15:00,申港路出华磊路南约500米
3101124201400230,伤人事故,2014-9-27 7:10:00,吴中路出环镇西路东约100米
3101130201400130,死亡事故,2014-7-31 17:35:00,泰和西路富长路东约500米
3101147201400100,死亡事故,2014-8-6 15:35:00,永盛路希望路东约1米
3101158201400290,死亡事故,2014-7-2 1:00:00,申江南路周祝公路(南)南约30米
3101152201400410,死亡事故,2014-9-21 22:32:00,高科中路伽利略路东约1米
3101148201400120,死亡事故,2014-8-30 6:40:00,宝钱公路沪宜公路北约1米
3101157201400420,死亡事故,2014-9-27 18:10:00,南团公路进宣黄公路南约300米
3101121201400180,死亡事故,2014-7-22 17:09:00,联友路周泾路东北约5米
3101097201400020,伤人事故,2014-7-21 15:15:00,周家嘴路公平路南约00米
3101134201400120,死亡事故,2014-7-8 9:29:00,其他路大华路301弄83号
3101171201400110,死亡事故,2014-8-12 9:55:00,同利路进盛龙路西约500米
3101168201400090,死亡事故,2014-10-14 17:54:00,卫六路进板桥西路南约100米
3101157201400420,死亡事故,2014-9-23 10:10:00,栏学路科农路东约1米
3101133201400130,死亡事故,2014-7-30 9:16:00,宝安公路进联杨路西约200米
3101146201400110,死亡事故,2014-8-21 12:45:00,金昌西路老翔黄路西约300米
3101174201400120,伤人事故,2014-8-10 21:00:00,九泾路进沧泾路北约200米
3101165201400080,死亡事故,2014-9-17 12:14:00,亭枫公路金石公路东约50米
3101123201400240,伤人事故,2014-9-29 21:50:00,银都路景洪路西约200米
3101156201400320,死亡事故,2014-7-21 3:46:00,川周公路秀浦路西约10米
3101142201400110,死亡事故,2014-8-19 19:35:00,曹安公路出淞阳南路西约300米
3101157201400290,死亡事故,2014-7-4 12:25:00,沪南公路康新公路东约5米
3101177201400080,死亡事故,2014-7-7 14:33:00,沪昆高速北侧47km约200米
3101146201400090,死亡事故,2014-7-9 8:43:00,新建一路澄浏公路南约30米
3101156201400300,死亡事故,2014-7-10 17:59:00,上丰路进金丰路南约1米
3101180201400360,死亡事故,2014-7-12 11:07:00,杜村公路出友爱路北约1000米
3101141201400110,死亡事故,2014-8-25 13:35:00,嘉罗公路迎园中路北约10米
3101106201400050,死亡事故,2014-11-17 6:30:00,营口路出佳木斯路北约150米
3101124201400180,伤人事故,2014-7-22 9:10:00,七莘路润虹路东北约0米
3101151201400310,死亡事故,2014-7-13 16:50:00,其他路航头镇海桥村
3101176201400100,死亡事故,2014-7-27 11:32:00,文翔路辰塔路西约5米
3101174201400130,伤人事故,2014-9-18 19:22:00,场东路出莘松路南约100米
3101181201400370,死亡事故,2014-7-17 10:08:00,沪青平公路进高泾路东约5米
3101151201400360,死亡事故,2014-8-14 17:15:00,巨峰路进申江路东约400米
3101174201400090,死亡事故,2014-7-7 3:55:00,中山中路出人民南路(东)东约3米
3102304201400080,死亡事故,2014-7-14 15:10:00,其他路庙镇合中村路
3101173201400080,死亡事故,2014-7-4 20:05:00,荣乐东路松东路东约10米
3101128201400190,伤人事故,2014-7-30 6:17:00,沪闵路新苗路北约5米
3101139201400140,死亡事故,2014-8-13 14:42:00,宝祁路南侧0km约319米
3101158201400300,死亡事故,2014-7-6 3:08:00,靖海路进人民东路南约50米
3101165201400080,死亡事故,2014-9-17 2:27:00,漕廊公路进沪杭公路西约50米
3101163201400080,死亡事故,2014-9-16 7:15:00,亭枫公路新顺路西约150米
3101153201400380,死亡事故,2014-8-28 8:25:00,下盐路军港公路东约1米
3101122201400170,死亡事故,2014-7-9 3:44:00,浦星公路出沈杜公路南约100米
3101176201400120,伤人事故,2014-8-20 4:18:00,莘砖公路同乐路北约3米
3101159201400300,死亡事故,2014-7-6 12:20:00,川南奉公路进东大公路北约1000米
3101075201400060,死亡事故,2014-7-26 2:40:00,古浪路进真南路东约100米
3101170201400080,死亡事故,2014-7-7 16:55:00,沪昆高速出沪方向新桥入口匝道
3101157201400290,死亡事故,2014-7-1 19:12:00,普庆路进德兴街东约1米
3101070201400090,死亡事故,2014-10-12 0:26:00,交通路进泾惠路西约150米
3101109201400030,死亡事故,2014-9-14 11:25:00,周家嘴路出许昌路西约20米
3101182201400440,死亡事故,2014-9-5 19:13:00,天辰路向阳河路西约5米
3101165201400090,死亡事故,2014-10-2 10:03:00,金石公路出亭枫公路南约300米
3101122201400190,伤人事故,2014-7-28 13:11:00,浦放路进鲁陈路西约1500米
3101156201400560,死亡事故,2014-12-12 18:09:00,川沙路储七路东约1米
3102213201400020,死亡事故,2014-10-1 10:35:00,杨高北一路出港华路南约100米
3101123201400190,死亡事故,2014-8-11 9:42:00,中春路顾戴路北约5米
3101170201400140,伤人事故,2014-9-22 22:52:00,泗凤公路新家园路东约1米
3101159201400310,死亡事故,2014-7-11 17:21:00,巨峰路进申江路东约10米
3101151201400370,死亡事故,2014-8-22 11:48:00,上丰路进达丰路北约100米
3101143201400120,死亡事故,2014-9-17 9:19:00,沪宜公路嘉安公路(西)南约1米
3101138201400170,死亡事故,2014-10-16 9:18:00,宝安公路东侧0km约2165米
3101157201400320,死亡事故,2014-7-23 18:10:00,海霞路进川南奉公路东约80米
3101154201400340,死亡事故,2014-8-1 9:33:00,芦五公路妙香路东约5米
3101150201400390,死亡事故,2014-9-10 15:07:00,周祝公路进南六公路西约50米
3101152201400330,死亡事故,2014-7-25 21:50:00,上海绕城高速南侧上海绕城高速龙东大道南向东下匝道前约50米
3101126201400190,死亡事故,2014-8-3 14:50:00,江月路浦星公路北约0米
3101178201400110,死亡事故,2014-8-4 18:20:00,光星路茸平路南约5米
3101179201400090,死亡事故,2014-7-12 8:14:00,叶新公路进许村公路西约500米
3101163201400060,死亡事故,2014-8-26 10:18:00,亭枫公路兴豪路东约500米
3101125201400270,死亡事故,2014-10-29 17:20:00,金都路春西路西约10米
3102235201400010,死亡事故,2014-12-3 16:07:00,富特中路新灵路北约00米
3103013201400010,伤人事故,2014-10-3 5:16:00,内环高架外侧NW0937约5米
3102301201400090,死亡事故,2014-8-15 19:30:00,港沿公路草港公路东约200米
3101140201400130,死亡事故,2014-9-22 3:00:00,京沪高速东侧1207.4km约1米
3101127201400200,伤人事故,2014-8-14 7:26:00,沪青平公路七莘路南约5米
3101122201400240,死亡事故,2014-10-4 12:40:00,虹梅南路出元江路北约150米
3101185201400480,死亡事故,2014-10-27 22:05:00,沈海高速东侧1282km约300米
3101138201400180,死亡事故,2014-10-28 7:48:00,宝杨路淞宝路路口
3102305201400090,死亡事故,2014-8-18 7:40:00,陈海公路出前竖公路北约10米
3101129201400280,伤人事故,2014-11-13 17:44:00,沪青平公路申昆路西北约10米
3101144201400100,死亡事故,2014-7-22 2:10:00,京沪高速东侧1218km约200米
3101152201400330,死亡事故,2014-7-28 10:25:00,拱极东路盐大路东约1米
3101182201400460,死亡事故,2014-10-6 9:55:00,崧泽大道外青松公路东约5米
3103014201400010,伤人事故,2014-9-11 12:01:00,中环高架内侧ZN0906约0米
3101174201400120,伤人事故,2014-8-19 20:54:00,嘉松南路泗陈公路北约10米
3101178201400130,死亡事故,2014-9-14 3:18:00,松东路进环城路北约150米
3101121201400220,伤人事故,2014-9-22 21:00:00,陈行公路浦星公路北约0米
3101162201400080,死亡事故,2014-8-31 15:50:00,金廊公路朱吕公路南约3000米
3101124201400250,死亡事故,2014-10-18 21:20:00,沈杜公路浦星公路东约0米
3101171201400100,死亡事故,2014-7-19 20:10:00,香闵路进香车路南约20米
3101165201400090,死亡事故,2014-10-7 18:42:00,漕廊公路东贤路东约10米
3101188201400370,死亡事故,2014-7-19 23:15:00,久业路出北青公路北约100米
3101150201400310,死亡事故,2014-7-16 11:39:00,妙境路进青厦路南约30米
3101153201400370,死亡事故,2014-8-25 11:12:00,上川路华东路东北约15米
3101123201400190,死亡事故,2014-8-8 11:20:00,沪闵路北松公路南约50米
3101159201400460,死亡事故,2014-10-22 8:20:00,川周公路平川路南约20米
3101019201400020,死亡事故,2014-7-25 8:10:00,打浦路进斜土路北约100米
3101140201400120,死亡事故,2014-9-5 15:09:00,双丁路德富路西约2米
3101147201400120,死亡事故,2014-8-29 23:18:00,嘉行公路新建一路北约1米
3101209201400100,死亡事故,2014-8-21 22:14:00,奉炮公路东侧2km约200米
3101040201400050,伤人事故,2014-8-12 0:12:00,宛平南路出斜土路南约200米
3101201201400090,死亡事故,2014-7-13 6:50:00,新四平公路进川南奉公路北约500米
3101142201400150,死亡事故,2014-11-12 15:50:00,金沙江西路金园一路西约1米
3101156201400320,死亡事故,2014-7-21 7:35:00,川沙路出上川路南约20米
3101158201400370,死亡事故,2014-8-26 23:42:00,申江路出锦绣东路北约200米
3101140201400100,死亡事故,2014-8-4 22:30:00,沈海高速北侧1268km约500米
3101131201400160,死亡事故,2014-9-30 5:10:00,瑞丰路进丰翔路北约400米
3101097201400030,伤人事故,2014-11-18 16:34:00,广粤路进广灵四路北约200米
3101152201400310,死亡事故,2014-7-18 14:09:00,申江南路进古丹路北约500米
3101127201400200,死亡事故,2014-8-21 19:26:00,龙吴路出北吴路北约100米
3101201201400100,死亡事故,2014-8-1 4:35:00,新四平公路进川南奉公路南约2米
3101180201400460,死亡事故,2014-9-30 22:18:00,新府中路进华志路南约1000米
3101157201400390,死亡事故,2014-9-7 11:13:00,东三里桥路南码头路东约1米
3101143201400130,死亡事故,2014-9-21 9:07:00,嘉罗公路施曹公路东约500米
3101129201400250,死亡事故,2014-10-19 13:12:00,立跃路立民路西约0米
3101148201400120,死亡事故,2014-9-5 20:05:00,嘉安公路嘉松北路西约300米
3101138201400170,死亡事故,2014-10-10 15:35:00,水产路铁山路路口
3101124201400200,伤人事故,2014-8-28 19:38:00,昆阳路出江川路北约300米
3101075201400090,死亡事故,2014-10-2 23:33:00,大渡河路怒江北路北约0米
3101205201400100,死亡事故,2014-8-15 9:40:00,上塑路进沿钱路东约800米
3101124201400240,死亡事故,2014-9-30 3:59:00,西环路进闵松路南约300米
3101152201400490,死亡事故,2014-11-8 18:30:00,同顺大道茂祥路东约5米
3101178201400090,死亡事故,2014-7-10 10:48:00,袜子弄出中山东路北约150米
3101130201400160,死亡事故,2014-9-23 23:20:00,外环高速外侧约80km
3101096201400020,伤人事故,2014-7-16 0:10:00,周家嘴路新建路西约00米
3101049201400050,死亡事故,2014-8-10 6:48:00,衡山路余庆路东约5米
3101070201400070,死亡事故,2014-8-6 17:52:00,真南路出红柳路东约50米
3102301201400110,死亡事故,2014-9-24 9:27:00,草港公路建设公路西约500米
3101014201400020,死亡事故,2014-8-25 5:20:00,中山南路会馆弄西约0米
3101170201400130,死亡事故,2014-9-13 16:50:00,山房公路东侧2km约100米
3101208201400090,死亡事故,2014-7-31 20:23:00,四平公路东侧2km约400米
3101125201400220,伤人事故,2014-9-14 13:28:00,纪翟路出北青公路北约200米
3101045201400050,死亡事故,2014-8-6 7:35:00,柳州路出宜山路北约150米
3101153201400450,死亡事故,2014-10-15 20:20:00,顾唐路上丰路东约1米
3101121201400210,伤人事故,2014-9-10 18:44:00,莲花南路向阳路北约20米
3101206201400090,死亡事故,2014-7-2 19:00:00,大叶公路东侧41km约100米
3101172201400110,死亡事故,2014-8-11 4:55:00,昆港公路进佘天昆公路南约200米
3101127201400220,死亡事故,2014-9-23 15:00:00,剑川路虹梅南路东约1米
3101159201400340,死亡事故,2014-7-31 17:38:00,高科东路顾唐路东约1米
3101180201400440,死亡事故,2014-9-5 17:45:00,漕盈公路清河湾路(南)南约5米
3101122201400220,死亡事故,2014-9-19 17:48:00,莲花南路出东川路南约500米
3101151201400310,死亡事故,2014-7-18 8:23:00,申江南路川周公路南约5米
3101138201400120,死亡事故,2014-7-9 5:14:00,沪太公路月罗公路路口
3101175201400130,死亡事故,2014-9-19 2:50:00,大叶公路进车亭公路东约2700米
3101159201400390,死亡事故,2014-9-12 19:49:00,外环高速西侧外环高速内侧长清路下匝道前约20米
3101177201400110,死亡事故,2014-8-13 3:00:00,佘北公路桃源路北约80米
3101087201400030,伤人事故,2014-8-17 19:58:00,西藏北路进南山路南约10米
3101135201400140,死亡事故,2014-8-9 5:05:00,殷高西路高境路西约1米
3101201201400140,死亡事故,2014-10-10 21:00:00,新四平公路海杰路东约200米
3101151201400500,死亡事故,2014-11-14 20:02:00,杨高北路进胶东路北约80米
3101171201400110,死亡事故,2014-8-5 6:42:00,沈海高速东侧沈海高速前约500米
3101044201400050,死亡事故,2014-8-14 23:39:00,肇嘉浜路大木桥路西约20米
3101188201400390,死亡事故,2014-8-5 7:43:00,青赵公路出曙光路北约200米
3101158201400360,死亡事故,2014-8-14 22:03:00,张杨北路航津路东约1米
3101141201400120,死亡事故,2014-9-10 6:42:00,伊宁路永盛路西约100米
3101160201400070,死亡事故,2014-8-28 15:30:00,金张公路进建乐路南约10米
3101157201400350,死亡事故,2014-8-8 9:52:00,老芦公路两港大道西北约5米
3102303201400120,死亡事故,2014-10-24 7:27:00,三沙洪路出人民路北约30米
3101146201400110,死亡事故,2014-8-24 17:51:00,嘉安公路回城西路南约10米
3101177201400100,死亡事故,2014-7-25 1:50:00,沈海高速西侧1295km约900米
3101206201400090,死亡事故,2014-7-25 4:05:00,团青公路奉村路东约2米
3101149201400130,死亡事故,2014-10-14 10:01:00,宝安公路嘉松北路西约5米
3101080201400030,伤人事故,2014-7-28 10:15:00,恒丰路天目西路北约1米
3101155201400330,死亡事故,2014-7-27 8:05:00,华夏高架路东侧BWP0280约1米
3101156201400360,死亡事故,2014-8-11 23:20:00,沪南公路上南路东约20米
3101129201400260,伤人事故,2014-10-23 22:37:00,七莘路华茂路北约100米
3101124201400260,伤人事故,2014-10-22 15:12:00,剑川路老中春路北约2米
3101178201400140,死亡事故,2014-9-23 6:50:00,文翔路进辰塔路西约300米
3101150201400350,死亡事故,2014-8-11 9:35:00,浦东北路大同路西北约10米
3101125201400190,死亡事故,2014-7-29 21:05:00,剑川路出金平路西约10米
3101158201400330,死亡事故,2014-7-28 4:25:00,老芦公路进三三公路南约100米
3101043201400060,死亡事故,2014-9-4 6:26:00,沪闵路虹梅路东北约10米
3101159201400470,死亡事故,2014-10-29 11:50:00,华东路进华夏东路北约600米
3101156201400310,死亡事故,2014-7-11 20:43:00,华夏中路金科路东约1米
3101127201400250,死亡事故,2014-10-14 10:35:00,莲花南路银都路北约300米
3101123201400190,死亡事故,2014-7-27 0:32:00,中春路进黎安路南约1000米
3101134201400150,死亡事故,2014-9-20 16:10:00,富锦路出同济路西约500米
3101153201400400,死亡事故,2014-9-14 17:25:00,沪城环路出大学城共享区道路北约200米
3101158201400390,死亡事故,2014-9-7 20:55:00,世纪大道进东方路西约100米
3101170201400140,死亡事故,2014-10-2 8:35:00,叶新公路进文工路东约50米
3101125201400220,伤人事故,2014-9-16 12:44:00,沪闵路元江路北约120米
3101171201400120,死亡事故,2014-9-2 15:05:00,张庄公路塔闵公路北约3000米
3101048201400060,死亡事故,2014-9-27 0:02:00,罗秀路进虹梅南路(西)东约60米
3101144201400140,死亡事故,2014-10-29 8:26:00,宝钱公路嘉唐公路东约2000米
3101183201400520,死亡事故,2014-12-8 14:34:00,华徐公路进盈港东路南约200米
3101157201400530,死亡事故,2014-12-2 15:40:00,申江路进高科中路北约50米
3101071201400070,伤人事故,2014-8-22 12:00:00,光复西路进大渡河路(西)东约60米
3101129201400200,伤人事故,2014-8-16 16:59:00,陈行公路苏召路西约0米
3102211201400010,伤人事故,2014-7-21 23:10:00,东海大桥进沪K11约0米
3101109201400050,死亡事故,2014-11-30 19:48:00,包头路进嫩江路北约230米
3101084201400030,伤人事故,2014-8-2 5:04:00,老沪太路进沪太路东约100米
3101185201400370,死亡事故,2014-7-22 1:50:00,沪渝高速北侧50km约600米
3101178201400110,伤人事故,2014-8-13 10:46:00,莘松路场东路西约5米
3102250201400010,死亡事故,2014-7-21 1:10:00,北进场路浦东机场北立交东约0米
3101156201400410,死亡事故,2014-9-19 9:57:00,国展路进云台路东约70米
3101172201500010,死亡事故,2015-1-9 19:20:00,沈海高速东侧1307km约400米
3101126201400210,死亡事故,2014-8-29 22:00:00,申嘉湖高速北侧34km约500米
3101067201400020,伤人事故,2014-7-5 15:10:00,余姚路延平路南约3米
3101128201400210,伤人事故,2014-9-4 20:04:00,宜山路进古美路东约60米
3101174201400130,死亡事故,2014-9-14 15:40:00,人民北路出辰花路南约150米
3101136201400140,死亡事故,2014-8-22 17:15:00,友谊路进江杨北路西约1958米
