国家,年份,收入,人口,幸福指数
美国,2008,5338.64,2968586,73.82
美国,2007,5011.56,2971650,73.61
美国,2006,4413.18,2976372,73.38
美国,2005,3903,2982904,73.13
加拿大,2008,35950.08,33679263,80.74
加拿大,2007,36225.06,33390141,80.59
加拿大,2006,35714.67,33098932,80.78
加拿大,2005,35078,32805041,80.36
中国,2008,6679.2,1326856173,73.1
中国,2007,6127.78,1318683096,72.92
中国,2006,5450.12,1310823807,72.74
中国,2005,4909.2,1303182268,72.56
日本,2008,31275.13,127425722,82.81
日本,2007,31636.71,127467972,82.87
日本,2006,30909.15,127463611,82.68
日本,2005,30290,127417244,82.27
韩国,2008,23903,49232844,79.46
韩国,2007,23438,49044790,79.22
韩国,2006,22373,48846823,78.94
韩国,2005,21342,48640671,78.58
新加坡,2008,45196.46,4608167,80.4
新加坡,2007,45351.51,4553009,80.18
新加坡,2006,43689.11,4492150,79.92
新加坡,2005,41479,4425720,79.63