fundCode,fundName,date,currentValue,totalValue
270010,广发沪深300,2015/10/30,1.557,1.847
270010,广发沪深300,2015/9/25,1.418,1.708
270010,广发沪深300,2015/8/26,1.318,1.608
270010,广发沪深300,2015/7/29,1.738,2.028
270010,广发沪深300,2015/7/01,1.874,2.164
270010,广发沪深300,2015/6/02,2.289,2.579
270010,广发沪深300,2015/5/05,2.014,2.304
270010,广发沪深300,2015/4/03,1.836,2.126
270010,广发沪深300,2015/3/06,1.534,1.824
270010,广发沪深300,2015/1/30,1.52,1.81
270010,广发沪深300,2014/12/31,1.565,1.855
270010,广发沪深300,2014/12/03,1.329,1.619
270010,广发沪深300,2014/11/05,1.132,1.422
270010,广发沪深300,2014/10/08,1.121,1.411
270010,广发沪深300,2014/9/02,1.083,1.373
270010,广发沪深300,2014/8/05,1.076,1.366
270010,广发沪深300,2014/7/08,0.984,1.274
270010,广发沪深300,2014/6/10,0.968,1.258
270010,广发沪深300,2014/5/12,0.973,1.263
270010,广发沪深300,2014/4/10,1.012,1.302
270010,广发沪深300,2014/3/12,0.946,1.236
270010,广发沪深300,2014/2/12,1.022,1.312
270010,广发沪深300,2014/1/08,1.002,1.292
270010,广发沪深300,2013/12/10,1.091,1.381
270010,广发沪深300,2013/11/12,1.041,1.331
270010,广发沪深300,2013/10/15,1.095,1.385
270010,广发沪深300,2013/9/06,1.049,1.339
270010,广发沪深300,2013/8/09,1.018,1.308
270010,广发沪深300,2013/7/12,1.015,1.305
270010,广发沪深300,2013/6/17,1.061,1.351
270010,广发沪深300,2013/5/15,1.096,1.386
270010,广发沪深300,2013/4/12,1.077,1.367
270010,广发沪深300,2013/3/13,1.108,1.398
270010,广发沪深300,2013/2/06,1.214,1.504
270010,广发沪深300,2013/1/09,1.109,1.399
270010,广发沪深300,2012/12/07,0.993,1.283
270010,广发沪深300,2012/11/09,0.989,1.279
270010,广发沪深300,2012/10/12,1.016,1.306
270010,广发沪深300,2012/9/10,1.027,1.317
270010,广发沪深300,2012/8/13,1.036,1.326
270010,广发沪深300,2012/7/16,1.054,1.344
270010,广发沪深300,2012/6/18,1.121,1.411
270010,广发沪深300,2012/5/21,1.117,1.407
270010,广发沪深300,2012/4/19,1.118,1.408
270010,广发沪深300,2012/3/20,1.112,1.402
270010,广发沪深300,2012/2/21,1.106,1.396
270010,广发沪深300,2012/1/17,1.066,1.356
270010,广发沪深300,2011/12/19,1.037,1.327
270010,广发沪深300,2011/11/21,1.122,1.412
270010,广发沪深300,2011/10/24,1.112,1.402
270010,广发沪深300,2011/9/19,1.156,1.446
270010,广发沪深300,2011/8/19,1.206,1.496
270010,广发沪深300,2011/7/22,1.307,1.597
270010,广发沪深300,2011/6/24,1.29,1.58
270010,广发沪深300,2011/5/26,1.262,1.552
270010,广发沪深300,2011/4/27,1.354,1.644
270010,广发沪深300,2011/3/28,1.387,1.677
270010,广发沪深300,2011/2/28,1.37,1.66
270010,广发沪深300,2011/1/24,1.256,1.546
270010,广发沪深300,2010/12/24,1.339,1.629
270010,广发沪深300,2010/11/26,1.505,1.645
270010,广发沪深300,2010/10/29,1.593,1.733
270010,广发沪深300,2010/9/21,1.357,1.497
270010,广发沪深300,2010/8/24,1.383,1.523
270010,广发沪深300,2010/7/27,1.332,1.472
270010,广发沪深300,2010/6/29,1.237,1.377
270010,广发沪深300,2010/5/27,1.356,1.496
270010,广发沪深300,2010/4/28,1.456,1.596
270010,广发沪深300,2010/3/30,1.584,1.724
270010,广发沪深300,2010/3/02,1.56,1.7
270010,广发沪深300,2010/1/26,1.531,1.671
270010,广发沪深300,2009/12/28,1.633,1.773
270010,广发沪深300,2009/11/30,1.65,1.79
270010,广发沪深300,2009/11/02,1.597,1.737
270010,广发沪深300,2009/9/25,1.453,1.593
270010,广发沪深300,2009/8/28,1.544,1.584
270010,广发沪深300,2009/7/31,1.88,1.92
270010,广发沪深300,2009/7/03,1.684,1.724
270010,广发沪深300,2009/6/05,1.496,1.536
270010,广发沪深300,2009/5/06,1.411,1.451
270010,广发沪深300,2009/4/07,1.356,1.356
270010,广发沪深300,2009/3/09,1.172,1.172
270010,广发沪深300,2009/2/09,1.211,1.211